T,k,bid,ask,mid,half_spread
0.350445,0.0785355,0.344081,0.346407,0.345244,0.0011629999999999974
0.350445,0.122987,0.343992,0.346756,0.345374,0.0013819999999999943
0.350445,0.165547,0.344662,0.347625,0.34614350000000005,0.0014814999999999967
0.350445,0.206369,0.345851,0.349053,0.347452,0.0016009999999999913
0.350445,0.24559,0.347448,0.351086,0.349267,0.001819000000000015
0.350445,0.28333,0.349663,0.353571,0.351617,0.0019540000000000113
0.350445,0.319697,0.352083,0.356279,0.35418099999999997,0.0020980000000000165
0.44627,-0.309286,0.39233,0.394654,0.393492,0.0011619999999999964
0.44627,-0.244747,0.382301,0.384647,0.383474,0.0011730000000000074
0.44627,-0.184122,0.374541,0.376872,0.3757065,0.001165499999999986
0.44627,-0.126964,0.368753,0.371019,0.369886,0.0011329999999999951
0.44627,-0.0728967,0.364526,0.366738,0.365632,0.0011059999999999959
0.44627,-0.0216035,0.361584,0.363888,0.362736,0.0011519999999999864
0.44627,-0.0216035,0.361655,0.363818,0.3627365,0.0010814999999999853
0.44627,0.0271867,0.359961,0.362093,0.361027,0.0010660000000000114
0.44627,0.0737068,0.359218,0.361093,0.36015549999999996,0.0009375000000000078
0.44627,0.118159,0.359025,0.360858,0.3599415,0.0009165000000000145
0.44627,0.160718,0.359284,0.361187,0.3602355,0.000951499999999994
0.44627,0.20154,0.359975,0.361909,0.360942,0.0009669999999999956
0.44627,0.240761,0.36101,0.362996,0.36200299999999996,0.0009929999999999939
0.44627,0.278501,0.36251,0.364594,0.363552,0.0010419999999999874
0.44627,0.314869,0.364005,0.366596,0.36530050000000003,0.0012954999999999772
0.44627,0.34996,0.365699,0.369013,0.367356,0.0016569999999999918
0.522929,-0.382171,0.396945,0.399238,0.3980915,0.0011464999999999947
0.522929,-0.313179,0.385824,0.387538,0.386681,0.0008569999999999967
0.522929,-0.24864,0.376542,0.378892,0.37771699999999997,0.0011750000000000094
0.522929,-0.188015,0.369672,0.372043,0.3708575,0.001185500000000006
0.522929,-0.130857,0.364696,0.366694,0.365695,0.0009989999999999999
0.522929,-0.0767897,0.360998,0.362819,0.36190849999999997,0.0009105000000000085
0.522929,-0.0254964,0.358247,0.360358,0.35930249999999997,0.0010555000000000148
0.522929,-0.0254964,0.358441,0.360163,0.359302,0.0008610000000000007
0.522929,0.0232937,0.356724,0.358683,0.35770349999999995,0.0009794999999999943
0.522929,0.0698137,0.355951,0.357792,0.3568715,0.0009204999999999908
0.522929,0.114266,0.355736,0.35749,0.35661299999999996,0.0008769999999999889
0.522929,0.156825,0.355956,0.357666,0.356811,0.0008549999999999947
0.522929,0.197647,0.356564,0.358184,0.35737399999999997,0.0008100000000000052
0.522929,0.236868,0.357502,0.358984,0.358243,0.0007410000000000194
0.522929,0.274608,0.358909,0.360037,0.359473,0.0005640000000000089
0.522929,0.310976,0.36027,0.361439,0.36085449999999997,0.0005845000000000156
0.522929,0.346067,0.361711,0.363223,0.362467,0.0007560000000000067
0.522929,0.379969,0.36336,0.365427,0.36439350000000004,0.0010334999999999928
0.599589,-0.386024,0.387667,0.390209,0.388938,0.0012709999999999944
0.599589,-0.317031,0.377715,0.379479,0.378597,0.0008819999999999939
0.599589,-0.252492,0.369554,0.371563,0.3705585,0.0010044999999999915
0.599589,-0.191868,0.363435,0.365538,0.3644865,0.001051499999999983
0.599589,-0.134709,0.359044,0.36094,0.359992,0.0009480000000000044
0.599589,-0.0806421,0.355849,0.357629,0.35673900000000003,0.0008899999999999741
0.599589,-0.0293488,0.353198,0.355778,0.354488,0.0012899999999999856
0.599589,-0.0293488,0.353575,0.355401,0.354488,0.0009130000000000249
0.599589,0.0194414,0.352024,0.354256,0.35314,0.0011160000000000059
0.599589,0.0659614,0.351498,0.353359,0.3524285,0.0009305000000000008
0.599589,0.110413,0.351374,0.352995,0.3521845,0.0008104999999999918
0.599589,0.152973,0.3515,0.353072,0.352286,0.0007860000000000089
0.599589,0.193795,0.351857,0.353493,0.35267499999999996,0.0008180000000000132
0.599589,0.233015,0.352491,0.3541,0.3532955,0.0008045000000000135
0.599589,0.270756,0.353404,0.355061,0.3542325,0.0008285000000000098
0.599589,0.307123,0.354375,0.356358,0.35536650000000003,0.0009915000000000063
0.599589,0.342215,0.355387,0.358037,0.35671200000000003,0.0013249999999999929
0.599589,0.376116,0.356474,0.36007,0.35827200000000003,0.001797999999999994
0.695414,-0.390859,0.388137,0.390431,0.38928399999999996,0.0011469999999999814
0.695414,-0.321866,0.379144,0.381241,0.3801925,0.0010485000000000078
0.695414,-0.257328,0.372024,0.374317,0.3731705,0.0011464999999999947
0.695414,-0.196703,0.366731,0.369044,0.3678875,0.0011565000000000047
0.695414,-0.139545,0.36292,0.365035,0.3639775,0.001057499999999989
0.695414,-0.0854773,0.36016,0.362121,0.3611405,0.000980500000000023
0.695414,-0.034184,0.357844,0.360538,0.35919100000000004,0.0013470000000000149
0.695414,-0.034184,0.358208,0.360174,0.35919100000000004,0.0009829999999999839
0.695414,0.0146061,0.356838,0.35924,0.358039,0.0012010000000000076
0.695414,0.0611261,0.356389,0.358521,0.35745499999999997,0.0010659999999999836
0.695414,0.105578,0.35633,0.358265,0.3572975,0.00096750000000001
0.695414,0.148138,0.356519,0.358387,0.357453,0.0009340000000000181
0.695414,0.18896,0.356946,0.358717,0.35783149999999997,0.0008855000000000113
0.695414,0.22818,0.357581,0.359227,0.358404,0.0008230000000000182
0.695414,0.265921,0.358507,0.359974,0.3592405,0.000733499999999998
0.695414,0.302288,0.359394,0.360972,0.36018300000000003,0.0007890000000000119
0.695414,0.33738,0.360266,0.362301,0.3612835,0.0010175000000000045
0.695414,0.371281,0.361119,0.363932,0.3625255,0.0014064999999999772
0.769336,-0.394604,0.387831,0.389545,0.388688,0.0008569999999999967
0.769336,-0.325611,0.379615,0.381182,0.3803985,0.0007835000000000203
0.769336,-0.261073,0.373107,0.374895,0.37400100000000003,0.0008939999999999781
