T,k,bid,ask
0.44627,0.160718,0.359284,0.361187
0.44627,0.20154,0.359975,0.361909
0.44627,0.240761,0.36101,0.362996
0.44627,0.278501,0.36251,0.364594
0.44627,0.314869,0.364005,0.366596
0.44627,0.34996,0.365699,0.369013
0.44627,0.383862,0.367549,0.371876
0.44627,0.538012,0.375519,0.39009
0.44627,0.671544,0.379121,0.411578
0.522929,-0.941787,0.499887,0.532452
0.522929,-0.824004,0.481952,0.503501
0.522929,-0.718644,0.463743,0.476495
0.522929,-0.623333,0.444851,0.452628
0.522929,-0.536322,0.426696,0.431965
0.522929,-0.456279,0.410495,0.41397
0.522929,-0.382171,0.396945,0.399238
0.522929,-0.313179,0.385824,0.387538
0.522929,-0.24864,0.376542,0.378892
0.522929,-0.188015,0.369672,0.372043
0.522929,-0.130857,0.364696,0.366694
0.522929,-0.0767897,0.360998,0.362819
0.522929,-0.0254964,0.358247,0.360358
0.522929,-0.0254964,0.358441,0.360163
0.522929,0.0232937,0.356724,0.358683
0.522929,0.0698137,0.355951,0.357792
0.522929,0.114266,0.355736,0.35749
0.522929,0.156825,0.355956,0.357666
0.522929,0.197647,0.356564,0.358184
0.522929,0.236868,0.357502,0.358984
0.522929,0.274608,0.358909,0.360037
0.522929,0.310976,0.36027,0.361439
0.522929,0.346067,0.361711,0.363223
0.522929,0.379969,0.36336,0.365427
0.522929,0.534119,0.371886,0.378338
0.522929,0.667651,0.377053,0.39399
0.599589,-0.94564,0.485522,0.51702
0.599589,-0.827856,0.467786,0.488479
0.599589,-0.722496,0.449798,0.462174
0.599589,-0.627186,0.431614,0.439883
0.599589,-0.540174,0.414718,0.420335
0.599589,-0.460132,0.399914,0.40383
0.599589,-0.386024,0.387667,0.390209
0.599589,-0.317031,0.377715,0.379479
0.599589,-0.252492,0.369554,0.371563
0.599589,-0.191868,0.363435,0.365538
0.599589,-0.134709,0.359044,0.36094
0.599589,-0.0806421,0.355849,0.357629
0.599589,-0.0293488,0.353198,0.355778
0.599589,-0.0293488,0.353575,0.355401
0.599589,0.0194414,0.352024,0.354256
0.599589,0.0659614,0.351498,0.353359
0.599589,0.110413,0.351374,0.352995
0.599589,0.152973,0.3515,0.353072
0.599589,0.193795,0.351857,0.353493
0.599589,0.233015,0.352491,0.3541
0.599589,0.270756,0.353404,0.355061
0.599589,0.307123,0.354375,0.356358
0.599589,0.342215,0.355387,0.358037
0.599589,0.376116,0.356474,0.36007
0.599589,0.530267,0.363528,0.370829
0.599589,0.663798,0.367478,0.385853
0.695414,-0.950475,0.481864,0.504335
0.695414,-0.832692,0.46333,0.478945
0.695414,-0.727331,0.444428,0.455717
0.695414,-0.632021,0.427334,0.435157
0.695414,-0.54501,0.412114,0.417273
0.695414,-0.464967,0.398933,0.402451
0.695414,-0.390859,0.388137,0.390431
0.695414,-0.321866,0.379144,0.381241
0.695414,-0.257328,0.372024,0.374317
0.695414,-0.196703,0.366731,0.369044
0.695414,-0.139545,0.36292,0.365035
0.695414,-0.0854773,0.36016,0.362121
0.695414,-0.034184,0.357844,0.360538
0.695414,-0.034184,0.358208,0.360174
0.695414,0.0146061,0.356838,0.35924
0.695414,0.0611261,0.356389,0.358521
0.695414,0.105578,0.35633,0.358265
0.695414,0.148138,0.356519,0.358387
0.695414,0.18896,0.356946,0.358717
0.695414,0.22818,0.357581,0.359227
0.695414,0.265921,0.358507,0.359974
0.695414,0.302288,0.359394,0.360972
0.695414,0.33738,0.360266,0.362301
0.695414,0.371281,0.361119,0.363932
0.695414,0.525432,0.36657,0.37313
0.695414,0.658963,0.370872,0.385436
0.769336,-0.95422,0.47743,0.496868
0.769336,-0.836437,0.458839,0.473042
0.769336,-0.731076,0.440079,0.451126
0.769336,-0.635766,0.424038,0.431334
0.769336,-0.548755,0.409964,0.414479
0.769336,-0.468712,0.398013,0.400565
0.769336,-0.394604,0.387831,0.389545
0.769336,-0.325611,0.379615,0.381182
0.769336,-0.261073,0.373107,0.374895
0.769336,-0.200448,0.368291,0.370089
0.769336,-0.14329,0.364834,0.366409
0.769336,-0.0892226,0.362286,0.363766
0.769336,-0.0379293,0.360073,0.362459
0.769336,-0.0379293,0.360449,0.362083
0.769336,0.0108609,0.359115,0.361287
0.769336,0.0573809,0.358681,0.360651
0.769336,0.101833,0.358648,0.360421
0.769336,0.144392,0.358887,0.360511
